5\1\1970,,4264.289,,,,,1.6179,0.0764,1.5865,0.5744,2.0946,-0.5018,0.8295,,,,,,-0.9538,0.5841,1.3602
8\1\1970,,4302.259,,,,,0.515,-0.3167,0.7152,0.5712,0.6913,0.2889,0.0584,,,,,,0.3454,-0.338,0.9126
11\1\1970,,4256.637,,,,,0.6307,-2.1871,-0.4012,2.3733,-0.6793,2.8181,-2.2782,,,,,,1.3771,-0.7934,1.9177
2\1\1971,,4374.016,,,,,-0.2121,-2.2512,-1.2605,1.9843,-1.8121,2.9466,-2.7119,,,,,,1.9593,-0.2469,0.1174
5\1\1971,,4398.829,,,,,0.3094,-1.1291,-0.6283,1.2547,-0.64,1.3996,-1.3333,,,,,,1.0804,0.0512,0.4064
8\1\1971,,4433.943,,,,,-0.2787,-0.0784,-1.0759,0.1083,-0.8535,0.3103,-0.5232,,,,,,0.3707,0.3321,0.123
11\1\1971,,4446.264,,,,,-0.0226,-1.2714,0.3525,1.0109,-0.3597,1.0558,-0.8863,,,,,,0.6687,-0.0542,1.2193
2\1\1972,,4525.769,,,,,0.2876,-1.9051,-0.4788,1.812,-0.9004,1.9709,-1.9137,,,,,,1.4225,0.6518,0.3493
5\1\1972,,4633.101,,,,,-0.5239,-0.0637,0.1232,-0.2656,-0.3263,-0.208,0.1686,,,,,,0.6688,0.6201,-0.6195
8\1\1972,,4677.503,,,,,-0.4421,0.1324,-0.7265,-0.2235,-0.6705,-0.0486,-0.1477,,,,,,0.4764,0.6154,-0.3817
11\1\1972,,4754.546,,,,,0.5519,-0.8598,-0.2615,1.1439,-0.1398,1.199,-1.0195,,,,,,0.9209,1.0248,0.966
2\1\1973,,4876.166,,,,,-1.9109,0.285,0.1838,-1.2992,-1.1113,-1.218,1.0452,,,,,,-0.3621,1.4815,-1.7661
5\1\1973,,4932.571,,,,,-1.086,0.5904,-1.0249,-0.9427,-1.1378,-0.8859,0.4622,,,,,,-0.6903,1.1248,-1.3584
8\1\1973,,4906.252,,,,,-0.0307,0.4709,0.5503,-0.4739,0.4926,-0.4123,0.5599,,,,,,-1.7689,1.5912,0.4583
11\1\1973,,4953.050,,,,,-0.8008,0.7006,1.0026,-1.2088,0.37,-1.2091,1.2545,,,,,,-2.0275,0.9699,-0.3662
2\1\1974,,4909.617,,,,,-0.0976,0.4616,1.6055,-0.6504,1.0878,-0.6195,1.0426,,,,,,-1.8026,1.4309,-0.3939
5\1\1974,,4922.188,,,,,-0.1837,0.801,1.1174,-0.8713,0.8137,-0.784,1.0139,,,,,,-2.4346,1.306,0.2664
8\1\1974,,4873.520,,,,,-1.0636,1.3437,0.4575,-1.7989,0.0698,-1.7566,1.6715,,,,,,-4.0477,0.8348,-0.8826
11\1\1974,,4854.340,,,,,-0.6407,0.4306,-2.1933,-0.5265,-1.48,-0.5619,-0.1422,,,,,,-2.3156,-0.8543,-2.0508
2\1\1975,,4795.295,,,,,1.84,-0.8859,-1.1628,1.8716,0.2938,1.8539,-1.7655,,,,,,0.1996,-0.7628,0.923
5\1\1975,,4831.942,,,,,1.7987,0.1532,-1.2394,0.9804,0.6633,1.0169,-0.9043,,,,,,1.3219,-0.7555,0.9336
8\1\1975,,4913.328,,,,,0.3634,0.5087,-1.8926,-0.0268,-0.5786,0.0211,-0.2551,,,,,,0.8387,-0.4678,-0.4774
11\1\1975,,4977.511,,,,,0.1234,-0.6775,-3.0141,0.9492,-1.8702,0.8921,-1.5961,,,,,,1.1,-0.6036,-0.7057
2\1\1976,,5090.663,,,,,0.5199,-0.842,-2.0748,1.1888,-1.132,1.1348,-1.5934,,,,,,1.7036,-0.1607,-0.2437
5\1\1976,,5128.947,,,,,0.2391,-0.593,-1.6507,0.6461,-0.9885,0.6115,-1.0041,,,,,,1.1885,-0.0606,-0.1048
8\1\1976,,5154.072,,,,,1.8722,-1.3152,-0.9533,2.4213,0.145,2.3838,-2.1841,1.7334,,,1.2603,,1.3272,0.5527,2.317
11\1\1976,,5191.499,,,,,0.2627,-1.5164,-1.171,1.6976,-1.1691,1.6715,-1.8302,1.4441,,,0.9294,,1.0551,-0.0519,0.6668
2\1\1977,,5251.762,,,,,0.2137,-1.2903,-0.9592,1.4071,-0.9707,1.3675,-1.504,1.3188,,,1.2547,,0.9624,0.5077,0.4983
5\1\1977,,5356.131,,,,,0.2975,-1.4249,-0.7125,1.5313,-0.8224,1.4536,-1.5368,0.9957,,,0.8092,,0.9712,0.8992,0.9933
8\1\1977,,5451.921,,,,,-0.271,-0.7067,-0.9995,0.6571,-1.1047,0.6322,-0.9016,0.8014,,,0.2655,,0.4117,0.8298,0.0858
11\1\1977,,5450.793,,,,,0.3577,-0.9081,-0.579,1.1359,-0.5035,1.0774,-1.1043,1.0473,,,0.6034,,0.2227,1.0428,0.9064
2\1\1978,,5469.405,,,,,1.08,-1.185,0.5358,1.5161,0.6031,1.4313,-1.0925,1.3749,,,0.7836,,-0.1114,1.5241,1.8757
5\1\1978,,5684.569,,,,,-0.1354,-0.3159,-0.0982,0.1349,-0.2124,0.1318,-0.2162,0.3549,,,0.4208,,-0.3174,1.6179,-0.2569
8\1\1978,,5740.300,,,,,-0.3004,-0.4104,-0.358,0.2299,-0.596,0.2232,-0.3621,0.2677,,,0.2743,,-0.4959,1.4583,-0.1042
11\1\1978,,5816.222,,,,,-0.9478,0.3422,-0.9054,-0.6641,-1.0993,-0.6156,0.2589,-0.6432,,,-0.1362,,-1.2822,1.7025,-0.9057
2\1\1979,,5825.949,,,,,0.9158,-0.0734,1.5193,0.3977,1.5186,0.2904,0.288,0.4701,,,-0.6339,,-1.0019,2.1978,1.3317
5\1\1979,,5831.418,,,,,1.0156,-0.6154,1.2355,0.9769,1.1865,0.8871,-0.3227,0.8003,,,-0.5339,,-0.9685,1.9099,1.4825
8\1\1979,,5873.335,,,,,-0.077,-0.2537,1.591,-0.0271,0.8026,-0.1121,0.5088,0.0974,,,-1.2591,,-1.3739,1.5877,0.5433
11\1\1979,,5889.495,,,,,-0.4047,1.9697,1.2468,-1.9763,1.2172,-2.0503,2.251,-0.9648,,,-1.8957,,-2.6053,1.6072,-0.6864
2\1\1980,,5908.467,,,,,0.0751,1.9557,1.6883,-1.7235,1.8252,-1.8477,2.1972,-1.5119,,,-1.5544,0.1554,-2.5624,1.8562,-0.2846
5\1\1980,,5787.373,,,,,-0.2001,-0.0116,-0.4847,-0.0792,-0.4357,-0.0471,-0.1925,0.2606,,,0.2224,2.1679,-2.4773,-0.7842,-0.2572
8\1\1980,,5776.617,,,,,1.1812,-1.5307,-0.2051,1.96,0.0454,1.9343,-1.7854,1.3974,,,1.2191,-0.8078,-0.585,0.0667,1.0293
11\1\1980,,5883.460,,,,,-0.9714,1.3528,1.126,-1.7435,0.5197,-1.7684,1.8734,-1.7663,,,-1.9781,0.763,-2.4952,1.1765,-1.0201
2\1\1981,,6005.717,,,,,-0.8654,1.7626,-0.1449,-1.821,-0.0623,-1.8005,1.6936,-2.3541,,,-2.3804,2.4731,-2.4822,1.0775,-0.6919
5\1\1981,,5957.795,,,,,-0.8914,0.9119,0.7884,-1.2575,0.1416,-1.2822,1.368,-1.4288,,,-1.6331,1.258,-2.614,1.2715,-1.2857
8\1\1981,,6030.184,,,,,-0.8634,1.6038,0.6143,-1.911,0.4355,-1.947,1.8561,-1.7004,,,-0.5697,1.6348,-2.6806,1.3697,-1.4933
11\1\1981,,5955.062,,,,,-0.4182,-0.9869,0.093,0.3811,-0.5022,0.3679,-0.6985,0.0776,,,1.8169,1.9439,-1.8156,-0.321,-0.2725
2\1\1982,,5857.333,,,,,0.0166,-0.0923,0.4908,-0.0891,0.3719,-0.0674,0.1435,0.0481,,,1.2693,0.7433,-1.9663,-0.1968,-0.3328
5\1\1982,,5889.074,,,,,-0.963,0.2307,1.2955,-1.0399,0.3826,-1.0419,0.9445,-0.8301,,,0.4945,0.9658,-2.0935,-0.2265,-0.1697
8\1\1982,,5866.370,,,,,-1.0161,-0.4297,-1.3365,-0.3366,-1.4559,-0.3084,-0.7149,-0.3751,,,2.9988,1.0144,-1.8115,-1.249,-1.3018
11\1\1982,,5871.001,,,,-0.72,-0.4378,-2.5208,-1.1426,1.7641,-1.8977,1.7887,-2.4965,0.6426,,,1.4704,2.3109,-0.3013,-1.6389,0.2196
2\1\1983,,5944.020,,,,0.02,-1.9475,-2.5473,-0.4169,0.9697,-2.6256,0.975,-1.3776,0.1879,,,0.5576,1.3972,0.187,-1.1862,-0.1157
5\1\1983,,6077.619,,,,0.62,-1.0812,-1.2274,-0.0396,0.3438,-1.2363,0.3542,-0.5483,-0.3526,,,0.1338,1.7086,0.3688,-0.1761,-0.2379
8\1\1983,,6197.468,,,,0.85,-0.7241,0.3211,-0.579,-0.6511,-0.6951,-0.6139,0.3782,-1.1043,,,0.8269,1.587,-0.0507,0.7376,-1.0371
11\1\1983,,6325.574,,,,0.42,-0.8516,0.2734,-0.9752,-0.6804,-0.9967,-0.6243,0.2345,-0.7691,,,1.0877,1.1155,-0.1712,0.7143,-1.2054
2\1\1984,,6448.264,,,,-0.17,-0.7035,-0.0613,-0.8672,-0.3178,-0.9842,-0.2688,-0.0439,-0.4217,,,1.0912,0.7544,-0.0396,1.0627,-1.0119
5\1\1984,,6559.594,,,,-0.77,-0.9395,0.7558,-0.4438,-1.1936,-0.5271,-1.1767,0.8407,-1.0749,,,2.0191,-0.3276,-0.5526,1.4092,-1.5631
8\1\1984,,6623.343,,,,-1.19,-0.1848,0.0983,0.0301,-0.3156,0.0558,-0.2822,0.1206,-0.2552,,,1.2932,0.2908,-0.6126,1.0637,-0.2416
11\1\1984,,6677.264,,,,-1.02,0.4153,-0.7295,0.1162,0.6786,0.2147,0.6946,-0.7143,0.8578,,,1.3434,-0.1319,0.0228,0.6826,0.5994
2\1\1985,,6740.275,,,,-0.74,-0.6904,-1.475,0.2767,0.6314,-0.7739,0.6434,-0.7826,0.8713,,,1.7686,-0.3,0.2375,0.7762,-0.2984
5\1\1985,,6797.344,,,,-0.56,-0.2811,-1.6999,0.6418,1.0254,-0.3898,0.9976,-0.9957,0.7279,,,1.4252,0.2153,0.4503,0.357,0.8815
8\1\1985,,6903.523,,,,-0.36,-0.8627,-1.3361,0.5209,0.46,-0.7713,0.4049,-0.6169,0.1357,,,0.9163,0.4632,0.3899,0.351,0.2669
11\1\1985,,6955.918,,,,-0.11,-1.1907,-2.9169,2.2096,1.1763,-0.4274,1.0839,-1.1593,0.5075,,,0.4985,0.5922,0.3699,1.1741,1.3219
2\1\1986,,7022.757,,,,0.57,0.0388,-1.2871,0.4376,0.9445,-0.1687,0.8721,-1.0629,0.477,,,-0.2856,0.9794,0.6132,0.1404,0.9189
5\1\1986,,7050.969,,,,1.41,-0.8655,-2.5324,0.7912,1.3992,-1.0974,1.2202,-1.4646,0.3419,,,-0.3664,1.2495,0.7991,-0.2587,0.9605
8\1\1986,,7118.950,,,,1.80,-1.1996,-1.876,0.7286,0.7168,-1.1239,0.5765,-0.805,-0.3321,,,-0.1562,2.1567,0.6176,-0.1498,0.2714
11\1\1986,,7153.359,,,,1.76,-0.8143,-1.5713,0.7567,0.7007,-0.7195,0.592,-0.6719,-0.0185,,,-0.0436,0.9256,0.5055,0.0348,0.4946
2\1\1987,,7193.019,,,,2.15,-0.1561,-1.1877,0.4871,0.7849,-0.2733,0.6737,-0.8276,0.4932,,,-0.1344,0.0219,0.3797,0.1606,0.849
5\1\1987,,7269.510,,,,2.66,-0.1217,0.1273,0.347,-0.2726,0.2147,-0.332,0.0708,-0.3971,,,0.8498,-0.1272,-0.0611,0.3502,-0.1621
8\1\1987,,7332.558,,,,2.76,0.2878,0.1133,0.1375,-0.0157,0.3787,-0.0305,-0.1373,0.0118,,,1.0309,-0.0021,0.0866,0.4322,0.1426
11\1\1987,,7458.022,,,,2.15,-2.7367,1.0676,-2.0568,-2.2707,-2.6726,-2.4453,0.8962,-2.8423,,,1.3547,0.3704,-1.0804,-0.9146,-3.364
2\1\1988,,7496.600,,,,1.51,-0.1369,-0.361,-0.5339,0.1637,-0.4756,0.0422,-0.6278,0.0256,,,0.9167,-0.1139,-0.1207,0.0862,-0.1616
5\1\1988,,7592.881,,,,1.21,0.2035,0.2294,-0.5412,-0.1164,-0.0125,-0.1284,-0.2657,0.1519,,,0.9846,-0.1909,-0.0812,0.4692,-0.301
8\1\1988,,7632.082,,,,1.07,0.4961,0.3542,-0.1647,-0.0416,0.428,-0.0464,-0.1529,0.2169,,,0.6976,-0.5923,-0.1409,0.4563,0.1175
11\1\1988,,7733.991,,,,0.98,0.3103,0.405,-0.09,-0.1947,0.3768,-0.2018,0.0238,0.2389,,,-0.2425,-0.8123,-0.1341,0.5038,-0.0033
2\1\1989,,7806.603,,,,0.76,0.86,1.0808,0.4195,-0.4741,1.3427,-0.4462,0.4545,0.098,,,-0.57,-0.4619,-0.3209,0.8019,-0.0536
5\1\1989,,7865.016,,,,0.54,0.9098,0.9362,0.1431,-0.333,1.1873,-0.2787,0.2338,-0.0255,,,-0.8758,0.2751,-0.3658,0.4282,0.1846
8\1\1989,,7927.393,,,,0.43,0.2101,0.8037,0.3087,-0.5436,0.6542,-0.4593,0.2023,0.2551,,,-1.3741,-0.1987,-0.2941,-0.1062,-0.2953
11\1\1989,,7944.697,,,,0.48,0.2614,-0.4835,0.4833,0.517,0.2866,0.4287,0.1625,0.106,,,-1.3476,-0.6109,0.13,0.1234,0.5572
2\1\1990,,8027.693,-0.47164254,-2.157945662,,0.21,-0.3482,1.1147,-0.1683,-1.0821,0.116,-1.0103,0.6769,-0.4119,,,-0.6192,-0.1543,-0.464,-0.0698,-1.0296
5\1\1990,,8059.598,0.352969221,-1.416685658,,-0.31,0.2134,0.6958,-0.5331,-0.3916,0.1067,-0.4601,0.2672,0.1588,,-1.8359,-0.1872,-0.4991,-0.4116,-0.4217,-0.4546
8\1\1990,,8059.476,0.240544105,-1.47220806,,-0.77,0.1845,0.7484,-1.0111,-0.3813,-0.213,-0.4609,0.1441,0.1058,,-1.1968,-0.2736,-1.2094,-0.4797,-0.6207,-0.3843
11\1\1990,,7988.864,-0.934824672,-2.434890607,,-0.89,1.0914,0.426,-0.3704,0.2826,0.723,0.2247,-0.1647,0.6573,,-0.7472,-0.1798,-1.4755,-0.5788,-0.7981,0.6144
2\1\1991,,7950.164,1.067259789,-0.380860254,,-0.19,1.4936,-0.0338,-0.5441,0.8994,0.7043,0.8868,-0.8404,1.7083,,-0.0133,0.491,-1.6961,-0.2318,-1.103,1.2025
5\1\1991,,8003.822,1.338937265,-0.021746084,,0.57,1.4088,-0.4306,-0.2928,1.1636,0.6289,1.0892,-0.7229,1.2855,,0.479,0.6186,-2.13,0.2712,-0.5683,1.1443
8\1\1991,,8037.538,0.954070896,-0.308159443,,0.72,1.3057,-0.2446,-1.0409,1.0184,0.1713,0.9233,-0.9926,1.3353,,-0.2813,0.4356,-1.7805,0.312,-0.6997,1.1334
11\1\1991,,8069.046,0.502426828,-0.556517079,,1.00,0.8648,-0.6559,-1.2619,1.0844,-0.3929,0.9977,-1.1887,1.2926,,-0.489,0.4395,-1.3531,0.3509,-0.7622,1.0039
2\1\1992,,8157.616,0.986827071,0.046362591,,1.47,1.0133,-0.1983,-1.2314,0.8279,-0.1283,0.7598,-0.9581,1.1944,,-0.2378,0.8944,-1.1148,0.5226,-0.5361,0.6408
5\1\1992,,8244.294,0.498584719,-0.344887651,,1.44,1.2787,0.1757,-1.5883,0.7069,-0.0698,0.6614,-0.9094,0.9557,,0.0225,1.1473,-1.2438,0.632,-0.4016,0.5298
8\1\1992,,8329.361,0.49053507,-0.228118031,,1.35,1.1208,-0.3454,-1.6521,1.0271,-0.4005,0.9206,-1.2514,1.1335,,-0.4639,0.6686,-0.7676,0.7028,-0.4494,0.8818
11\1\1992,,8417.016,0.397705145,-0.273031891,,1.51,1.0425,0.3752,-1.6236,0.4175,-0.1621,0.4366,-0.6811,0.8854,,-0.467,1.0429,-0.6237,0.5678,-0.3356,0.1701
